Location State_ CA,Location State_ NY,Location City_San Diego,Founded,Location City_Los Angeles,Job Title_Data Scientist,Job Title_Data Analyst,Job Title_Data Engineer,Location City_Austin,Location City_Burbank,Type of ownership_Nonprofit Organization,Sector_Information Technology,Location City_Dallas,Location City_Houston,Revenue_Unknown / Non-Applicable,Type of ownership_Company - Public,Rating_3,Sector_Business Services,Sector_Unknown,Type of ownership_Company - Private,Revenue_$100 to $500 million (USD),Rating_4,Revenue_$10+ billion (USD),"Headquarters_Chicago, IL",Location State_ IL,Est_Salary
0,1,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,99.0
0,1,0,2000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,99.0
0,1,0,2014,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,99.0
0,1,0,2006,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,99.0
0,1,0,2014,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,99.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,99.0
0,1,0,2005,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,111.5
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,111.5
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,111.5
0,1,0,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,111.5
0,1,0,1896,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,111.5
0,1,0,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,111.5
0,1,0,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,111.5
0,1,0,1898,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,111.5
0,1,0,1968,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,111.5
0,1,0,1862,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,111.5
0,1,0,1934,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,111.5
0,1,0,1992,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,111.5
0,1,0,2009,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,111.5
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,111.5
